time_s,component,type,terminal_a,terminal_b,value,unit,closed,initial_value,initial_unit,voltage_a_minus_b_V,current_a_to_b_A,power_absorbed_W,stored_energy_J,voltage_known,current_known,method,relative_local_tolerance,absolute_state_tolerance,window_s,source_waveform,source_amplitude,source_frequency_Hz,source_phase_deg,pulse_width_percent,pulse_edge_percent,initial_switch_closed,switch_timing_enabled,switch_schedule_s,time_side,switch_events,diode_model,diode_Is_A,diode_emission,diode_thermal_voltage_V,nonlinear_iterations,controlled_source_kind,control_positive,control_negative,sense_source_id,control_gain,control_value,control_unit,opamp_model,opamp_lower_V,opamp_upper_V,opamp_region,opamp_unlimited_output_V,opamp_headroom_V,opamp_regions_checked,opamp_timing_enabled,opamp_gbw_Hz,opamp_slew_V_per_us,opamp_starting_output_V,opamp_timing_active,opamp_local_slope_V_per_s,opamp_step_slope_V_per_s,zener_knee_V,zener_slope_resistance_ohm,zener_region,diode_series_resistance_ohm,diode_junction_voltage_V,diode_series_voltage_V,diode_junction_power_W,diode_series_power_W,requested_integration,integration_restart,bjt_polarity,bjt_base_node,bjt_beta_forward,bjt_beta_reverse,bjt_Is_A,bjt_thermal_voltage_V,bjt_VBE_V,bjt_VBC_V,bjt_base_current_A,bjt_emitter_current_A,bjt_region,bjt_VCE_V,bjt_collector_current_A,bjt_total_power_W
0.11176562499999998,V1,voltage,A,0,5,V,,0,,5,-1.0000000039071519e-14,-5.000000019535759e-14,0,true,true,algebraic_sample,0.00002,,0.3,dc,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11176562499999998,R2,resistor,C,0,1000,Ω,,0,,2.0000000038684687e-11,2.0000000038684688e-14,4.000000015473875e-25,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11176562499999998,Q3,bjt,C,A,0,,,0,,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,pnp,B,100,1,1e-14,0.02585,-1.000000082740371e-10,4.99999999988,9.999999999613152e-15,1.000000003907157e-14,Cutoff / leakage,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13
0.11176562499999998,R4,resistor,D,B,10000,Ω,,0,,1.000000082740371e-10,1.000000082740371e-14,1.0000001654807489e-24,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11176562499999998,V5,voltage,D,0,0,V,,0,,5,-1.0000010202693081e-14,-5.0000051013465406e-14,0,true,true,algebraic_sample,0.00002,,0.3,pulse,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11215624999999997,V1,voltage,A,0,5,V,,0,,5,-1.0000000039071519e-14,-5.000000019535759e-14,0,true,true,algebraic_sample,0.00002,,0.3,dc,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11215624999999997,R2,resistor,C,0,1000,Ω,,0,,2.0000000038684687e-11,2.0000000038684688e-14,4.000000015473875e-25,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11215624999999997,Q3,bjt,C,A,0,,,0,,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,pnp,B,100,1,1e-14,0.02585,-1.000000082740371e-10,4.99999999988,9.999999999613152e-15,1.000000003907157e-14,Cutoff / leakage,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13
0.11215624999999997,R4,resistor,D,B,10000,Ω,,0,,1.000000082740371e-10,1.000000082740371e-14,1.0000001654807489e-24,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11215624999999997,V5,voltage,D,0,0,V,,0,,5,-1.0000010202693081e-14,-5.0000051013465406e-14,0,true,true,algebraic_sample,0.00002,,0.3,pulse,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11254687499999996,V1,voltage,A,0,5,V,,0,,5,-1.0000000039071519e-14,-5.000000019535759e-14,0,true,true,algebraic_sample,0.00002,,0.3,dc,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11254687499999996,R2,resistor,C,0,1000,Ω,,0,,2.0000000038684687e-11,2.0000000038684688e-14,4.000000015473875e-25,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11254687499999996,Q3,bjt,C,A,0,,,0,,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,pnp,B,100,1,1e-14,0.02585,-1.000000082740371e-10,4.99999999988,9.999999999613152e-15,1.000000003907157e-14,Cutoff / leakage,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13
0.11254687499999996,R4,resistor,D,B,10000,Ω,,0,,1.000000082740371e-10,1.000000082740371e-14,1.0000001654807489e-24,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11254687499999996,V5,voltage,D,0,0,V,,0,,5,-1.0000010202693081e-14,-5.0000051013465406e-14,0,true,true,algebraic_sample,0.00002,,0.3,pulse,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11293749999999997,V1,voltage,A,0,5,V,,0,,5,-1.0000000039071519e-14,-5.000000019535759e-14,0,true,true,algebraic_sample,0.00002,,0.3,dc,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11293749999999997,R2,resistor,C,0,1000,Ω,,0,,2.0000000038684687e-11,2.0000000038684688e-14,4.000000015473875e-25,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11293749999999997,Q3,bjt,C,A,0,,,0,,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,pnp,B,100,1,1e-14,0.02585,-1.000000082740371e-10,4.99999999988,9.999999999613152e-15,1.000000003907157e-14,Cutoff / leakage,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13
0.11293749999999997,R4,resistor,D,B,10000,Ω,,0,,1.000000082740371e-10,1.000000082740371e-14,1.0000001654807489e-24,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11293749999999997,V5,voltage,D,0,0,V,,0,,5,-1.0000010202693081e-14,-5.0000051013465406e-14,0,true,true,algebraic_sample,0.00002,,0.3,pulse,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11332812499999997,V1,voltage,A,0,5,V,,0,,5,-1.0000000039071519e-14,-5.000000019535759e-14,0,true,true,algebraic_sample,0.00002,,0.3,dc,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11332812499999997,R2,resistor,C,0,1000,Ω,,0,,2.0000000038684687e-11,2.0000000038684688e-14,4.000000015473875e-25,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11332812499999997,Q3,bjt,C,A,0,,,0,,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,pnp,B,100,1,1e-14,0.02585,-1.000000082740371e-10,4.99999999988,9.999999999613152e-15,1.000000003907157e-14,Cutoff / leakage,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13
0.11332812499999997,R4,resistor,D,B,10000,Ω,,0,,1.000000082740371e-10,1.000000082740371e-14,1.0000001654807489e-24,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11332812499999997,V5,voltage,D,0,0,V,,0,,5,-1.0000010202693081e-14,-5.0000051013465406e-14,0,true,true,algebraic_sample,0.00002,,0.3,pulse,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11371874999999997,V1,voltage,A,0,5,V,,0,,5,-1.0000000039071519e-14,-5.000000019535759e-14,0,true,true,algebraic_sample,0.00002,,0.3,dc,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11371874999999997,R2,resistor,C,0,1000,Ω,,0,,2.0000000038684687e-11,2.0000000038684688e-14,4.000000015473875e-25,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11371874999999997,Q3,bjt,C,A,0,,,0,,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,pnp,B,100,1,1e-14,0.02585,-1.000000082740371e-10,4.99999999988,9.999999999613152e-15,1.000000003907157e-14,Cutoff / leakage,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13
0.11371874999999997,R4,resistor,D,B,10000,Ω,,0,,1.000000082740371e-10,1.000000082740371e-14,1.0000001654807489e-24,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11371874999999997,V5,voltage,D,0,0,V,,0,,5,-1.0000010202693081e-14,-5.0000051013465406e-14,0,true,true,algebraic_sample,0.00002,,0.3,pulse,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11410937499999996,V1,voltage,A,0,5,V,,0,,5,-1.0000000039071519e-14,-5.000000019535759e-14,0,true,true,algebraic_sample,0.00002,,0.3,dc,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11410937499999996,R2,resistor,C,0,1000,Ω,,0,,2.0000000038684687e-11,2.0000000038684688e-14,4.000000015473875e-25,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11410937499999996,Q3,bjt,C,A,0,,,0,,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,pnp,B,100,1,1e-14,0.02585,-1.000000082740371e-10,4.99999999988,9.999999999613152e-15,1.000000003907157e-14,Cutoff / leakage,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13
0.11410937499999996,R4,resistor,D,B,10000,Ω,,0,,1.000000082740371e-10,1.000000082740371e-14,1.0000001654807489e-24,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11410937499999996,V5,voltage,D,0,0,V,,0,,5,-1.0000010202693081e-14,-5.0000051013465406e-14,0,true,true,algebraic_sample,0.00002,,0.3,pulse,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11449999999999996,V1,voltage,A,0,5,V,,0,,5,-1.0000000039071519e-14,-5.000000019535759e-14,0,true,true,algebraic_sample,0.00002,,0.3,dc,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11449999999999996,R2,resistor,C,0,1000,Ω,,0,,2.0000000038684687e-11,2.0000000038684688e-14,4.000000015473875e-25,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11449999999999996,Q3,bjt,C,A,0,,,0,,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,pnp,B,100,1,1e-14,0.02585,-1.000000082740371e-10,4.99999999988,9.999999999613152e-15,1.000000003907157e-14,Cutoff / leakage,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13
0.11449999999999996,R4,resistor,D,B,10000,Ω,,0,,1.000000082740371e-10,1.000000082740371e-14,1.0000001654807489e-24,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11449999999999996,V5,voltage,D,0,0,V,,0,,5,-1.0000010202693081e-14,-5.0000051013465406e-14,0,true,true,algebraic_sample,0.00002,,0.3,pulse,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11489062499999997,V1,voltage,A,0,5,V,,0,,5,-1.0000000039071519e-14,-5.000000019535759e-14,0,true,true,algebraic_sample,0.00002,,0.3,dc,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11489062499999997,R2,resistor,C,0,1000,Ω,,0,,2.0000000038684687e-11,2.0000000038684688e-14,4.000000015473875e-25,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11489062499999997,Q3,bjt,C,A,0,,,0,,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,pnp,B,100,1,1e-14,0.02585,-1.000000082740371e-10,4.99999999988,9.999999999613152e-15,1.000000003907157e-14,Cutoff / leakage,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13
0.11489062499999997,R4,resistor,D,B,10000,Ω,,0,,1.000000082740371e-10,1.000000082740371e-14,1.0000001654807489e-24,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11489062499999997,V5,voltage,D,0,0,V,,0,,5,-1.0000010202693081e-14,-5.0000051013465406e-14,0,true,true,algebraic_sample,0.00002,,0.3,pulse,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11528124999999996,V1,voltage,A,0,5,V,,0,,5,-1.0000000039071519e-14,-5.000000019535759e-14,0,true,true,algebraic_sample,0.00002,,0.3,dc,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11528124999999996,R2,resistor,C,0,1000,Ω,,0,,2.0000000038684687e-11,2.0000000038684688e-14,4.000000015473875e-25,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11528124999999996,Q3,bjt,C,A,0,,,0,,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,pnp,B,100,1,1e-14,0.02585,-1.000000082740371e-10,4.99999999988,9.999999999613152e-15,1.000000003907157e-14,Cutoff / leakage,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13
0.11528124999999996,R4,resistor,D,B,10000,Ω,,0,,1.000000082740371e-10,1.000000082740371e-14,1.0000001654807489e-24,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11528124999999996,V5,voltage,D,0,0,V,,0,,5,-1.0000010202693081e-14,-5.0000051013465406e-14,0,true,true,algebraic_sample,0.00002,,0.3,pulse,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11567187499999995,V1,voltage,A,0,5,V,,0,,5,-1.0000000039071519e-14,-5.000000019535759e-14,0,true,true,algebraic_sample,0.00002,,0.3,dc,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11567187499999995,R2,resistor,C,0,1000,Ω,,0,,2.0000000038684687e-11,2.0000000038684688e-14,4.000000015473875e-25,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11567187499999995,Q3,bjt,C,A,0,,,0,,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,pnp,B,100,1,1e-14,0.02585,-1.000000082740371e-10,4.99999999988,9.999999999613152e-15,1.000000003907157e-14,Cutoff / leakage,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13
0.11567187499999995,R4,resistor,D,B,10000,Ω,,0,,1.000000082740371e-10,1.000000082740371e-14,1.0000001654807489e-24,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11567187499999995,V5,voltage,D,0,0,V,,0,,5,-1.0000010202693081e-14,-5.0000051013465406e-14,0,true,true,algebraic_sample,0.00002,,0.3,pulse,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11606249999999996,V1,voltage,A,0,5,V,,0,,5,-1.0000000039071519e-14,-5.000000019535759e-14,0,true,true,algebraic_sample,0.00002,,0.3,dc,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11606249999999996,R2,resistor,C,0,1000,Ω,,0,,2.0000000038684687e-11,2.0000000038684688e-14,4.000000015473875e-25,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11606249999999996,Q3,bjt,C,A,0,,,0,,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,pnp,B,100,1,1e-14,0.02585,-1.000000082740371e-10,4.99999999988,9.999999999613152e-15,1.000000003907157e-14,Cutoff / leakage,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13
0.11606249999999996,R4,resistor,D,B,10000,Ω,,0,,1.000000082740371e-10,1.000000082740371e-14,1.0000001654807489e-24,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11606249999999996,V5,voltage,D,0,0,V,,0,,5,-1.0000010202693081e-14,-5.0000051013465406e-14,0,true,true,algebraic_sample,0.00002,,0.3,pulse,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11645312499999996,V1,voltage,A,0,5,V,,0,,5,-1.0000000039071519e-14,-5.000000019535759e-14,0,true,true,algebraic_sample,0.00002,,0.3,dc,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11645312499999996,R2,resistor,C,0,1000,Ω,,0,,2.0000000038684687e-11,2.0000000038684688e-14,4.000000015473875e-25,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11645312499999996,Q3,bjt,C,A,0,,,0,,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,pnp,B,100,1,1e-14,0.02585,-1.000000082740371e-10,4.99999999988,9.999999999613152e-15,1.000000003907157e-14,Cutoff / leakage,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13
0.11645312499999996,R4,resistor,D,B,10000,Ω,,0,,1.000000082740371e-10,1.000000082740371e-14,1.0000001654807489e-24,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11645312499999996,V5,voltage,D,0,0,V,,0,,5,-1.0000010202693081e-14,-5.0000051013465406e-14,0,true,true,algebraic_sample,0.00002,,0.3,pulse,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11684374999999995,V1,voltage,A,0,5,V,,0,,5,-1.0000000039071519e-14,-5.000000019535759e-14,0,true,true,algebraic_sample,0.00002,,0.3,dc,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11684374999999995,R2,resistor,C,0,1000,Ω,,0,,2.0000000038684687e-11,2.0000000038684688e-14,4.000000015473875e-25,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11684374999999995,Q3,bjt,C,A,0,,,0,,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,pnp,B,100,1,1e-14,0.02585,-1.000000082740371e-10,4.99999999988,9.999999999613152e-15,1.000000003907157e-14,Cutoff / leakage,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13
0.11684374999999995,R4,resistor,D,B,10000,Ω,,0,,1.000000082740371e-10,1.000000082740371e-14,1.0000001654807489e-24,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11684374999999995,V5,voltage,D,0,0,V,,0,,5,-1.0000010202693081e-14,-5.0000051013465406e-14,0,true,true,algebraic_sample,0.00002,,0.3,pulse,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11723437499999995,V1,voltage,A,0,5,V,,0,,5,-1.0000000039071519e-14,-5.000000019535759e-14,0,true,true,algebraic_sample,0.00002,,0.3,dc,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11723437499999995,R2,resistor,C,0,1000,Ω,,0,,2.0000000038684687e-11,2.0000000038684688e-14,4.000000015473875e-25,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11723437499999995,Q3,bjt,C,A,0,,,0,,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,pnp,B,100,1,1e-14,0.02585,-1.000000082740371e-10,4.99999999988,9.999999999613152e-15,1.000000003907157e-14,Cutoff / leakage,-4.99999999998,-2.0000000038684723e-14,1.0000000019202362e-13
0.11723437499999995,R4,resistor,D,B,10000,Ω,,0,,1.000000082740371e-10,1.000000082740371e-14,1.0000001654807489e-24,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11723437499999995,V5,voltage,D,0,0,V,,0,,5,-1.0000010202693081e-14,-5.0000051013465406e-14,0,true,true,algebraic_sample,0.00002,,0.3,pulse,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11762499999999995,V1,voltage,A,0,5,V,,0,,5,-1.0000000039071519e-14,-5.000000019535759e-14,0,true,true,algebraic_sample,0.00002,,0.3,dc,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
0.11762499999999995,R2,resistor,C,0,1000,Ω,,0,,2.0000000038684687e-11,2.0000000038684688e-14,4.000000015473875e-25,0,true,true,algebraic_sample,0.00002,,0.3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,backward-euler,,,,,,,,,,,,,,,
